zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
20,2005,3,8,68962,67050,65980,66988,70171,76001,93007,101491,99607,102096,101886,103445,101649,98895,98216,98884,103677,114067,130304,129910,128087,123824,121747,112645
21,2005,3,8,1207950,1180721,1164712,1177662,1234667,1359304,1620218,1727378,1700711,1767056,1823740,1889183,1888919,1881763,1854535,1863025,1930044,2071555,2318296,2378275,2343272,2269839,2191507,2061038
1,2005,3,9,23559,23216,23526,23883,24751,27414,30664,29670,26087,23904,22339,20666,18632,17689,16529,16338,17101,19013,22121,24473,24882,24508,23103,22069
2,2005,3,9,207779,205088,205552,204214,212362,225704,244690,247496,237059,226752,220841,215686,211450,203868,196626,194210,197564,206141,226784,230192,229298,221670,207311,194312
3,2005,3,9,224195,221290,221792,220347,229140,243535,264021,267049,255788,244666,238287,232726,228155,219974,212160,209552,213172,222427,244700,248378,247412,239183,223689,209663
4,2005,3,9,596,590,574,577,589,615,740,745,674,620,603,592,570,542,533,513,577,641,689,711,723,698,647,582
5,2005,3,9,10129,9952,9984,10230,10986,12014,13265,12483,12395,10249,9354,8754,8313,7858,7488,7414,7962,9212,11234,12307,12353,11430,10527,9682
6,2005,3,9,217908,215040,215536,214443,223348,237718,257955,259980,249455,237001,230194,224440,219763,211726,204114,201623,205526,215353,238018,242499,241650,233100,217838,203994
7,2005,3,9,224195,221290,221792,220347,229140,243535,264021,267049,255788,244666,238287,232726,228155,219974,212160,209552,213172,222427,244700,248378,247412,239183,223689,209663
8,2005,3,9,4483,4430,4424,4475,4753,5083,5469,5449,5138,4755,4566,4360,4193,4124,3962,4058,4412,4905,5425,5669,5551,5266,4889,4490
9,2005,3,9,61236,60753,60669,60816,60606,37800,23037,21273,32151,61614,66129,78204,78120,78876,78015,78792,78309,78414,79044,78729,78918,78645,79317,79674
10,2005,3,9,34143,33844,33905,33595,34457,37080,40334,40283,37922,35496,33518,32494,31671,30531,29304,28798,28746,30424,34772,36580,36734,35734,33176,30587
11,2005,3,9,139967,139423,140114,141957,145398,154686,165110,162596,157004,148432,142177,136170,128743,125545,120810,118945,120443,127864,143839,150362,149324,143883,135453,126760
12,2005,3,9,171036,169419,169875,170606,173740,185887,207815,199324,183323,173275,165699,158729,152696,145878,141476,140492,145957,159306,179919,188747,190087,180811,168738,156158
13,2005,3,9,24955,24250,24182,24512,25248,25554,29014,29760,28996,26551,25002,23625,22575,21769,21033,20866,21507,23310,26145,27559,27886,26722,26885,24643
14,2005,3,9,27716,27738,27978,28574,30144,30254,34085,32245,29055,25036,23345,22250,20817,19189,18293,18162,19305,21658,26099,28434,28992,28425,28981,26823
15,2005,3,9,74646,75758,76159,76599,78910,78107,86659,86147,82188,74430,70062,65569,61696,58401,56512,56562,57605,60570,70380,76421,77422,75875,78772,73363
16,2005,3,9,43513,44079,45356,46675,48319,48063,53063,49617,42804,41053,35909,33186,31488,29909,28377,27985,28664,32465,38629,41267,41706,40429,40943,39047
17,2005,3,9,37744,37663,37507,38675,40999,43627,48205,45482,40840,36918,34943,33426,32114,30463,29883,29426,30662,33580,38773,41339,42049,41406,40635,38372
18,2005,3,9,278780,274807,281424,289787,308227,320721,343761,328743,331228,277393,254187,238890,222642,210956,200645,196866,206927,229763,272539,295016,297085,287746,286199,270073
19,2005,3,9,99593,99485,101345,104125,110347,113131,130525,124185,106602,95353,88718,82170,76307,72518,68529,68327,72832,81732,97543,106716,108248,104384,105652,96627
20,2005,3,9,107707,106333,104362,105865,109549,112097,124800,125890,118153,110274,105723,102037,98828,95467,92834,91697,94432,102561,114613,119556,119606,115518,113158,105182
21,2005,3,9,2013880,1994448,2006056,2020302,2101013,2182625,2367233,2335466,2232650,2098438,2009883,1946700,1876928,1805257,1739283,1720178,1764875,1881766,2115966,2203333,2207338,2134616,2049602,1921764
1,2005,3,10,21758,21925,22541,23605,24956,27237,30097,29260,24535,21498,19709,18169,17011,15823,15023,14958,16131,18322,20672,22387,22232,21233,19471,18061
2,2005,3,10,193501,194199,193905,195565,202642,214839,235854,240555,221702,215555,208652,202160,193650,188209,182868,181001,182936,194369,209614,211274,206966,199861,190489,173282
3,2005,3,10,208789,209542,209223,211015,218651,231812,254487,259560,239217,232584,225136,218131,208948,203077,197314,195301,197388,209725,226174,227965,223317,215651,205537,186971
4,2005,3,10,569,558,545,547,583,593,715,710,666,602,571,537,510,496,479,478,525,595,701,741,708,680,621,565
5,2005,3,10,9307,9389,9641,10129,10919,12187,13846,13329,11233,9633,8683,8168,7604,7039,6741,6683,7442,8651,10278,11176,11030,10028,8902,8059
6,2005,3,10,202808,203588,203545,205694,213561,227026,249700,253885,232935,225188,217335,210328,201254,195247,189609,187684,190378,203021,219892,222450,217996,209889,199390,181341
7,2005,3,10,208789,209542,209223,211015,218651,231812,254487,259560,239217,232584,225136,218131,208948,203077,197314,195301,197388,209725,226174,227965,223317,215651,205537,186971
8,2005,3,10,4333,4234,4174,4286,4565,4827,5261,5285,4872,4622,4324,4093,3868,3685,3590,3622,3918,4380,4799,5030,4960,4661,4321,3914
9,2005,3,10,79695,79590,79170,79380,79380,79905,75537,78435,79821,80724,78183,76272,74907,74886,74613,74655,74823,64302,62748,63231,66402,66402,66171,66654
10,2005,3,10,29457,28883,28690,28783,29320,31846,35531,36905,34524,31984,30176,28912,27979,26661,26105,26113,27244,29162,32835,33743,33431,32704,30458,28241
11,2005,3,10,122415,122622,124125,126563,130652,141318,160571,160827,142110,130460,122381,115689,109030,107809,104587,104664,108743,116470,133118,140632,139383,133949,125168,115985
12,2005,3,10,150930,150122,151926,154979,159792,174812,199673,192259,167694,153455,144335,134885,129490,126490,122004,122262,131613,145020,168371,179364,176792,168619,155002,141501
13,2005,3,10,23433,23356,23778,23988,25035,25023,28917,29498,26267,24845,23494,21949,20902,20196,19615,20002,20944,22434,24653,26109,25456,24222,24187,21928
14,2005,3,10,25635,25469,25772,26374,27566,27838,31787,30263,25757,22387,20603,19109,17991,16955,16310,16192,16881,19558,23827,26616,26831,26238,27007,24449
15,2005,3,10,70016,70055,70947,72565,76589,77483,88788,88064,78468,69475,64693,60769,56223,54462,52312,52903,53666,57514,65968,72207,72825,69779,70907,65978
16,2005,3,10,38229,38572,38740,39534,41691,43179,49077,47429,40363,35872,32637,30011,28201,26557,25364,25461,27012,31089,36715,39190,39236,37791,37439,34084
17,2005,3,10,37130,36095,36177,36093,37828,40627,45922,43985,38879,35365,33223,31880,30166,29457,28386,28072,28753,31108,35456,38235,39445,39012,37705,34640
18,2005,3,10,265894,267887,273393,283379,300240,316653,358090,343488,296118,263249,238886,221415,207276,195886,187542,188764,201323,218512,254505,275909,273833,259701,251735,231070
19,2005,3,10,92090,91597,92521,94992,101843,106593,124779,119660,101189,88049,79880,73876,69268,65452,61822,61714,65677,74799,89200,98046,98927,94651,93640,84760
20,2005,3,10,101836,101146,101031,102619,106379,108939,124018,125035,112144,105136,99620,95442,90943,88400,86432,87373,91828,98841,108302,111418,109146,104632,101728,93887
21,2005,3,10,1886614,1888371,1899067,1931105,2010843,2124549,2367137,2357992,2117711,1983267,1877657,1789926,1704169,1649864,1598030,1593203,1644613,1757597,1954002,2033688,2012233,1935354,1855415,1702341
1,2005,3,11,17505,17943,18618,19476,20445,22349,25461,25431,21784,20803,18631,18101,17456,16322,15499,17377,17838,18215,20677,22547,22331,22232,21590,21170
2,2005,3,11,171092,168025,168914,170982,177773,192253,213745,218898,204264,195230,189387,187747,185974,182993,173719,174654,176724,183857,191436,191812,190544,184409,180333,169393
3,2005,3,11,184608,181299,182259,184490,191818,207442,230631,236192,220402,210653,204350,202580,200666,197449,187444,188453,190686,198383,206560,206965,205597,198977,194579,182776
4,2005,3,11,525,486,500,487,511,555,623,676,644,647,594,595,575,551,568,551,604,668,737,785,800,810,750,634
5,2005,3,11,7582,7560,7673,8136,8979,10264,12557,11864,9858,8496,7601,7300,7403,7026,6527,6528,6976,7984,9110,9444,9250,8710,8210,7768
6,2005,3,11,178674,175585,176588,179118,186752,202518,226302,230763,214122,203725,196988,195047,193376,190019,180246,181183,183700,191841,200546,201255,199794,193118,188543,177161
7,2005,3,11,184608,181299,182259,184490,191818,207442,230631,236192,220402,210653,204350,202580,200666,197449,187444,188453,190686,198383,206560,206965,205597,198977,194579,182776
8,2005,3,11,3779,3648,3642,3715,3989,4319,4659,4695,4327,4081,3943,3811,3720,3514,3506,3572,3961,4235,4535,4717,4639,4597,4314,4148
9,2005,3,11,78351,78351,73605,73122,65898,60081,61110,62286,62223,61383,61488,61152,60879,61341,62118,62454,62517,62559,71358,76818,80955,77448,75621,75705
10,2005,3,11,26757,25581,25365,25530,26151,28977,32421,33728,31056,29202,28018,26903,26147,25001,24580,24968,27284,28657,30867,30878,30508,29542,27305,25504
11,2005,3,11,109255,106272,106243,106097,109503,119612,137903,138762,123173,111917,104601,98991,93224,90701,88917,89706,97429,102940,112540,114284,112831,110066,104750,98389
12,2005,3,11,132134,128568,127252,126659,129073,142156,168152,163748,143632,128956,118933,111457,104344,99663,98076,100505,111719,124719,137452,140678,138647,134210,126878,117985
13,2005,3,11,20503,19994,20143,20654,21224,21704,25617,26500,24638,23440,22950,22159,21489,21135,20167,19765,20782,22365,24609,25420,25061,24176,25064,23300
14,2005,3,11,23159,22747,22628,22860,24390,24914,28647,27378,23106,20237,18038,16624,15421,14640,14184,14732,16531,18681,21162,21676,21534,20992,22189,21326
15,2005,3,11,63169,62634,64532,67371,70750,70576,79707,79268,71102,64445,59746,55601,52501,52129,51659,50943,53212,58093,64328,66379,66127,65386,71352,69459
16,2005,3,11,32511,32186,32561,33613,35696,36678,41427,40642,35210,31278,27890,24739,24021,23452,23923,25335,26728,29508,32765,33978,33485,32273,32575,30603
17,2005,3,11,33069,32268,32232,33053,34672,36752,41563,39633,35385,32228,30490,29152,27886,26909,27405,28457,29529,31283,33236,33892,33656,32804,33092,32040
18,2005,3,11,221017,219877,226040,238060,255540,272730,312700,303006,261782,230331,211216,197573,190258,184037,181867,179595,192306,206573,231747,240239,234419,225864,227276,215671
19,2005,3,11,79659,78961,80770,84505,90027,93388,109285,104373,89046,79267,73368,67640,62398,62358,62746,64359,68218,74465,83072,87799,87732,83833,89140,83748
20,2005,3,11,89819,88201,88355,89077,93304,96705,111675,112590,102717,97130,94311,92767,88730,85725,83687,82578,86453,90798,97635,99775,98223,95819,97340,91234
21,2005,3,11,1657776,1631485,1640179,1671495,1738313,1851415,2094816,2096625,1898873,1764102,1676893,1622519,1577134,1542414,1494282,1504168,1563883,1654207,1780932,1816306,1801730,1744243,1725480,1630790
1,2005,3,12,20456,20268,20419,20837,21570,22201,23753,25999,26411,24112,21487,19752,18118,16386,14948,14704,14765,15401,17280,18333,18243,17919,17257,16108
2,2005,3,12,164349,162970,161470,162706,167747,175752,188055,198860,200021,199438,192188,182333,177578,173220,167563,165420,167532,173338,183613,183151,180487,177789,170250,157346
3,2005,3,12,177332,175846,174226,175561,181000,189637,202911,214570,215824,215195,207371,196738,191607,186904,180800,178488,180767,187032,198118,197621,194745,191835,183701,169777
4,2005,3,12,612,558,548,561,583,609,729,743,712,724,661,620,621,610,588,602,654,748,793,785,745,713,641,593
5,2005,3,12,7447,7363,7506,7839,8272,8993,10052,11099,11356,11108,9708,8853,8440,7757,7552,7637,7757,8327,9463,9830,9556,9025,8466,7787
6,2005,3,12,171795,170334,168976,170545,176019,184745,198106,209959,211377,210547,201896,191186,186018,180977,175115,173057,175289,181665,193075,192981,190042,186814,178716,165133
7,2005,3,12,177332,175846,174226,175561,181000,189637,202911,214570,215824,215195,207371,196738,191607,186904,180800,178488,180767,187032,198118,197621,194745,191835,183701,169777
8,2005,3,12,3932,3840,3831,3876,4077,4324,4619,4931,5049,4939,4672,4599,4549,4423,4236,4371,4468,4603,4669,4860,4608,4536,4227,3941
9,2005,3,12,76545,77028,77238,77364,77511,77448,77007,77175,77238,76377,75810,76020,68733,62475,62685,62412,62433,61929,61887,62391,63399,63378,72408,76146
10,2005,3,12,24116,24196,24610,24732,25331,25968,27369,28513,29129,28943,27992,26987,26102,24619,23073,21949,22351,23294,25449,26095,25441,24729,23409,21973
11,2005,3,12,93879,92444,93849,96569,100183,106524,113264,119627,122963,120768,115189,108601,100490,95509,93031,91116,93190,99066,108791,112972,111699,107923,103305,97750
12,2005,3,12,112284,109761,110238,113305,118503,126416,136374,146016,152041,150437,144463,136146,126585,117883,114050,113467,117198,126327,139128,144530,143305,138892,133184,124918
13,2005,3,12,22185,21705,21488,21679,22329,21410,23118,25217,26616,26502,25528,24403,23290,22676,21306,21322,22208,23473,24392,24922,24346,22924,23506,21611
14,2005,3,12,20767,21267,21896,22504,23263,22433,24511,26529,27748,28007,27095,24395,21680,19567,18221,17055,16776,17305,19691,20753,20328,19599,20307,18674
15,2005,3,12,69246,68413,68034,67949,70215,66946,72271,77326,80462,78244,70857,64540,60044,56305,53263,50662,51191,52820,57628,59745,58320,57405,60254,56984
16,2005,3,12,29900,29962,30972,32212,33793,34274,38036,39766,40431,39422,36123,33185,30704,27896,26501,26177,26727,28352,31465,32555,32073,31545,32004,30180
17,2005,3,12,30509,30196,30668,30889,31903,33021,35446,38159,39726,39645,37601,33507,30922,29004,28213,26971,26123,26944,29355,30345,29942,29436,28846,26646
18,2005,3,12,208645,209835,215461,224119,237188,240937,259721,276495,284480,279543,254275,229933,208050,193315,184444,183085,184979,194258,219505,228855,226501,220323,224135,212109
19,2005,3,12,80894,80730,81964,84129,88698,86939,94080,100794,104127,102106,92308,82023,75429,70819,65464,62240,62079,65655,74176,78500,77034,73986,76754,70565
20,2005,3,12,87254,86135,86568,88027,91373,90830,97275,103205,105648,103046,97863,92735,88018,84778,83170,82553,84482,89789,94147,95949,93213,90406,90569,85415
21,2005,3,12,1579479,1568697,1574188,1600964,1660558,1709044,1829608,1939553,1977183,1954298,1850458,1733294,1638585,1562027,1505023,1481776,1501736,1567358,1690743,1722794,1698772,1661012,1635640,1533433
1,2005,6,20,12191,11328,10792,10640,10882,11830,13356,14221,14539,15201,16137,16751,17236,17701,18274,19230,20160,20786,20879,20052,19496,19578,17000,14053
2,2005,6,20,126098,119683,116959,116608,118767,126955,138762,152282,157418,163721,168208,171854,172504,173786,173401,174291,175605,177221,174704,171013,170690,169694,155004,138841
3,2005,6,20,136059,129139,126198,125820,128150,136984,149724,164312,169855,176655,181497,185430,186133,187516,187100,188061,189479,191222,188505,184524,184174,183100,167250,149810
4,2005,6,20,306,296,286,281,292,314,393,470,478,476,431,430,460,423,396,408,393,464,486,497,503,524,463,365
5,2005,6,20,4794,4264,4008,3977,4260,4618,5168,5731,5845,5977,5968,6171,6387,6314,6634,7083,7525,8363,8749,8669,8563,8226,6754,5273
6,2005,6,20,130892,123947,120967,120585,123027,131573,143929,158013,163263,169698,174176,178024,178891,180100,180035,181374,183131,185584,183453,179682,179253,177920,161758,144114
7,2005,6,20,136059,129139,126198,125820,128150,136984,149724,164312,169855,176655,181497,185430,186133,187516,187100,188061,189479,191222,188505,184524,184174,183100,167250,149810
8,2005,6,20,2141,1979,1939,1951,2009,2142,2320,2664,2796,2954,3056,3270,3340,3245,3286,3316,3370,3475,3512,3437,3452,3485,2984,2437
9,2005,6,20,57099,65793,66402,66150,66780,66423,63084,66654,66465,66444,66675,70539,80199,79968,79905,80157,82320,83013,82908,82404,82215,82404,82866,83034
10,2005,6,20,16910,16130,15719,15850,17298,20010,21913,23412,24055,24513,24493,24735,24982,24703,25511,25853,26467,27136,27425,26781,26575,27485,25335,21969
11,2005,6,20,62190,57457,55252,54967,55729,61288,74047,85167,86603,87986,89142,90008,88982,90291,90709,92615,94003,97963,99642,97791,97459,97848,87596,74847
12,2005,6,20,76539,69534,66636,65647,66882,73194,86820,94198,95255,98033,100371,100999,100867,100226,99580,101222,106311,113723,115405,114238,115713,119331,105807,88199
13,2005,6,20,12735,11819,11455,11351,11734,13261,15888,17347,17677,18268,18924,19207,19008,18975,13069,13428,13978,14433,20384,19996,20427,20686,18457,15193
14,2005,6,20,13495,11990,11224,10974,11336,12691,14191,14962,15160,15645,16024,16593,17312,17033,10310,10355,11198,12597,20088,19870,19688,20153,17150,13826
15,2005,6,20,43782,42503,40983,40655,41322,44303,49802,53867,57046,58342,59719,62068,62123,64504,46316,46236,44836,44507,62524,60604,59105,61538,55815,47839
16,2005,6,20,17885,16335,15490,15260,15648,16664,19158,21363,21885,22653,23175,23102,23432,24079,17545,18702,20138,21218,28272,27592,27311,27461,23812,19484
17,2005,6,20,23929,22248,21399,22175,22483,24393,26764,27562,27987,28627,29510,30271,30625,30976,27570,27946,29157,29612,33415,33050,32789,33077,29762,26010
18,2005,6,20,138243,124645,118096,115405,118626,131054,150775,162065,166030,170633,178068,184106,186059,193567,161313,166844,176385,184372,226530,221969,219653,218548,185873,152302
19,2005,6,20,48771,44239,41757,40408,41320,47222,54687,59009,59929,61552,63401,65359,67856,70637,48186,50881,54607,57943,82827,80489,78546,79445,67900,54428
20,2005,6,20,59315,56624,55224,54896,56782,64109,73766,80362,81588,83575,85321,87372,88737,89157,74175,75806,77555,80607,95736,92453,92337,92233,82318,71458
21,2005,6,20,1119433,1059092,1026984,1019420,1041477,1126012,1254271,1367973,1403729,1447608,1485793,1521719,1541266,1560717,1450415,1471869,1506097,1545461,1663949,1629635,1622123,1625836,1461154,1273292
1,2005,6,21,11943,10931,10427,10209,10529,11471,13135,14087,14575,15110,15793,16810,18266,19709,20826,21628,22414,23147,23539,22340,20920,20835,18450,15246
2,2005,6,21,128188,123166,119378,119690,121577,129341,140946,153689,160566,167438,173400,179592,183673,189927,193328,197941,201503,203606,203266,197993,194737,193093,176360,156131
3,2005,6,21,138316,132897,128810,129145,131182,139559,152080,165830,173252,180665,187099,193781,198183,204932,208602,213579,217422,219692,219324,213635,210121,208347,190293,168466
